page-links,page-links-href,title,authors,conference,link
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Image Compression via Colorization Using Semi-Regular Color Samples,"Chenguang Zhang, Hui Fang",Data Compression Conference (2013),
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Space-Filling Trees: A New Perspective on Incremental Search for Motion Planning,"James J. Kuffner, Steven M. LaValle","Proc. IEEE/RSJ International Conference on Intelligent Robots and Systems, IEEE (2011)",/pubs/archive/37063.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,Structured Data Meets the Web: A Few Observations,"Jayant Madhavan, Alon Halevy, Shirley Cohen, Xin (Luna) Dong, Shawn R. Jeffery, David Ko, Cong Yu",Data Engineering Bulletin (2006),/pubs/archive/32593.pdf
Hardware and Architecture,http://research.google.com/pubs/HardwareandArchitecture.html,Towards Energy Proportionality for Large-Scale Latency-Critical Workloads,"David Lo, Liqun Cheng, Rama Govindaraju, Luiz Andre Barroso, Christos Kozyrakis","Proceedings of the 41th Annual International Symposium on Computer Architecture, ACM (2014)",/pubs/archive/42523.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Large Scale Acquisition of Paraphrases for Learning Surface Patterns,"Rahul Bhagat, Deepak Ravichandran",ACL-2008,
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Hallucinated N-Best Lists for Discriminative Language Modeling,"Kenji Sagae, Maider Lehr, Emily Tucker Prud'hommeaux, Puyang Xu, Nathan Glenn, Damianos Karakos, Sanjeev Khudanpur, Brian Roark, Murat Saraclar, Izhak Shafran, Daniel M. Bikel, Chris Callison-Burch, Yuan Cao, Keith Hall, Eva Hassler, Philipp Koehn, Adam Lopez, Matt Post, Darcey Riley","Proceedings of the IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP) (2012)",/pubs/archive/38112.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Web Page Language Identification Based on URLs,"Eda Baykan, Monika Henzinger, Ingmar Weber","34th International Conference on Very Large Data Bases (VLDB), ACM Press, New York (2008), pp. 176-188",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Practical Gammatone-Like Filters for Auditory Modeling,"Andreas G. Katsiamis, Emmanuel M. Drakakis, Richard F. Lyon","EURASIP Journal on Audio, Speech, and Music Processing, vol. 2007 (2007), pp. 12",/pubs/archive/33012.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Combining Evidence with a Probabilistic Framework for Answer Ranking and Answer Merging in Question Answering,"Jeongwoo Ko, Luo Si, Eric Nyberg","Information Processing and Management, vol. 46 (2010), pp. 541-554",
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Generating Diverse Katakana Variants Based on Phenomic Mapping,"Kazuhiro Seki, Hiroyuki Hattori, Kuniaki Uehara","Proc. 31st Annual International ACM SIGIR Conference on Research and Development in Information Retrieval, ACM, Singapore (2008), pp. 793-794",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Online Learning with Global Cost Functions,"Eyal Even-Dar, Robert Kleinberg, Shie Mannor, Yishay Mansour","22nd Annual Conference on Learning Theory, COLT, Omnipress (2009)",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Using Search-Logs to Improve Query Tagging,"Kuzman Ganchev, Keith B. Hall, Ryan McDonald, Slav Petrov","Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics, Volume 2: Short Papers (ACL '12) (2012)",/pubs/archive/38276.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,BeyondCorp: A New Approach to Enterprise Security,"Rory Ward, Betsy Beyer",";login:, vol. Vol. 39, No. 6 (2014), pp. 6-11",/pubs/archive/43231.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Visualizing Statistical Mix Effects and Simpson's Paradox,"Zan Armstrong, Martin Wattenberg","Proceedings of IEEE InfoVis 2014, IEEE (to appear)",/pubs/archive/42901.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Spectral Intersections for Non-Stationary Signal Separation,"Trausti Kristjansson, Thad Hughes","Proceedings of InterSpeech 2012, Portland, OR",/pubs/archive/39988.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,ReNoun: Fact Extraction for Nominal Attributes,"Mohamed Yahya, Steven Whang, Rahul Gupta, Alon Halevy",Proc. 2014 Conf. on Empirical Methods in Natural Language Processing (EMNLP),/pubs/archive/42849.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Machine Learning in an Auction Environment,"Patrick Hummel, Preston McAfee","Proceedings of the 23rd International Conference on the World Wide Web (WWW) (2014), pp. 7-18",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Learning Halfspaces with Malicious Noise,"Adam R. Klivans, Philip M. Long, Rocco A. Servedio","JMLR, vol. 10 (2009), pp. 2715-2740",/pubs/archive/35263.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Overlapping clusters for distributed computation,"Reid Andersen, David Gleich, Vahab Mirrokni",ACM Conference on Web Search and Data Mining (WSDM) (2012),
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Easy Does It: More Usable CAPTCHAs,"Elie Bursztein, Angelika Moscicki, Celine Fabry, Steven Bethard, John C. Mitchell, Dan Jurafasky","CHI '14 Proceedings of the SIGCHI Conference on Human Factors in Computing Systems, ACM, 1600 Amphitheatre Pkwy (2014), pp. 2637-2646",/pubs/archive/43463.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Spatiotemporal Assignment of Energy Harvesters on a Self-Sustaining Medical Shoe,"James Wendt, Vishwa Goudar, Hyduke Noshadi, Miodrag Potkonjak","2012 IEEE Sensors, IEEE, pp. 1-4",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Filter & Follow: Do Social Media Encourage Efficient News Curation?,"Nitish Korula, Augustin Chaintreau, Avner May, Silvio Lattanzi",SIGMETRICS 2014,
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Models for Neural Spike Computation and Cognition,"David H. Staelin, Carl H. Staelin","CreateSpace, Seattle, WA (2011), pp. 142",/pubs/archive/37538.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,The Shoebox and the Safe: When Once-Personal Information Changes Hands,Manas Tungare,Proceedings of the 5th International Workshop on Personal Information Management at CSCW 2012,/pubs/archive/40349.pdf
Networking,http://research.google.com/pubs/Networking.html,The Prospect of Inter-Data-Center Optical Networks,"Xiaoxue Zhao, Vijay Vusirikala, Bikash Koley, Valey Kamalov, Tad Hofmeister","IEEE Communication Magazine, vol. 51 (2013), pp. 32-38",/pubs/archive/41414.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Using structural cues to guide readers on the internet,"Jan H. Spyridakis, Kathryn A. Mobrand, Elisabeth Cuddihy, Carolyn Y. Wei","Information Design Journal, vol. 15 (2007), pp. 242-259",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Designing the Chromecast Out-of-Box Experience,Noor Ali-Hasan,"TVX'14, ACM (2014)",/pubs/archive/42549.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Spotting fake reviewer groups in consumer reviews,"Arjun Mukherjee, Bing Liu, Natalie Glance","Proceedings of the 21st international conference on World Wide Web, ACM, New York, NY, USA (2012), pp. 191-200",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,A Hierarchical Conditional Random Field Model for Labeling and Images of Street Scenes,"Qixing Huang, Mei Han, Bo Wu, Sergey Ioffe",International Conference on Computer Vision and Pattern Recognition (2011),/pubs/archive/37125.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Subtyping a la Church,"Adriana Compagnoni, Healfdene Goguen",Radboud University Nijmegen (2007) (to appear),
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Randomized Language Models via Perfect Hash Functions,"David Talbot, Thorsten Brants","Proceedings of ACL-08: HLT, Association for Computational Linguistics, Columbus, Ohio (2008), pp. 505-513",/pubs/archive/34507.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Harvesting Relational Tables from Lists on the Web,"Hazem Elmeleegy, Jayant Madhavan, Alon Halevy","Proceedings of the VLDB Endowment (PVLDB) (2009), pp. 1078-1089",
Data Management,http://research.google.com/pubs/DataManagement.html,Weighted Proximity Best-Joins for Information Retrieval,"Risi Thonangi, Hao He, Anhai Doan, Haixun Wang, Jun Yang","ICDE '09: Proceedings of the 2009 IEEE International Conference on Data Engineering, IEEE Computer Society, Washington, DC, USA, pp. 234-245",/pubs/archive/35483.pdf
Networking,http://research.google.com/pubs/Networking.html,Flexible Network Bandwidth and Latency Provisioning in the Datacenter,"Vimalkumar Jeyakumar, Abdul Kabbani, Jeffrey C. Mogul, Amin Vahdat",arxiv.org (2014),/pubs/archive/43871.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,"Hyper-local, directions-based ranking of places","Petros Venetis, Hector Gonzalez, Alon Y. Halevy, Christian S. Jensen","Proceedings of VLDB (2011), pp. 290-30",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Stability Bounds for Stationary $\phi$-mixing and $\beta$-mixing Processes,"Mehryar Mohri, Afshin Rostamizadeh","Journal of Machine Learning Research (JMLR), vol. 11 (2010), pp. 798-814",/pubs/archive/36944.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Language Modeling for Automatic Speech Recognition Meets the Web: Google Search by Voice,"Ciprian Chelba, Johan Schalkwyk, Boulos Harb, Carolina Parada, Cyril Allauzen, Michael Riley, Peng Xu, Thorsten Brants, Vida Ha, Will Neveitt","OGI/OHSU Seminar Series, Portland, Oregon, USA (2011)",/pubs/archive/37075.pdf
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Tricorder: Building a Program Analysis Ecosystem,"Caitlin Sadowski, Jeffrey van Gogh, Ciera Jaspan, Emma Soederberg, Collin Winter",International Conference on Software Engineering (ICSE) (2015),/pubs/archive/43322.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Confucius and Its Intelligent Disciples: Integrating Social with Search,"Xiance Si, Edward Y. Chang, Zoltan Gyongyi, Maosong Sun","Proceedings of VLDB 2010, 36th International Conference on Very Large Data Bases, VLDB Endowment, pp. 1505-1516",/pubs/archive/36900.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Open-Domain Fine-Grained Class Extraction from Web Search Queries,Marius Pasca,Proceedings of the Conference on Empirical Methods in Natural Language Processing (EMNLP-2013),
Machine Perception,http://research.google.com/pubs/MachinePerception.html,The Power of Comparative Reasoning,"Jay Yagnik, Dennis Strelow, David Ross, Ruei-Sung Lin","International Conference on Computer Vision, IEEE (2011)",/pubs/archive/37298.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Large-Scale Image Annotation using Visual Synset,"David Tsai, Yushi Jing, Henry Rowley, Yi Liu, Sergey Ioffe, James Rehg",Proc. International Conference on Computer Vision (ICCV) (2011),
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,JANUS: exploiting parallelism via hindsight,"Omer Tripp, Roman Manevich, John Field, Mooly Sagiv","Proceedings of the 33rd ACM SIGPLAN conference on Programming Language Design and Implementation, ACM, New York, NY, USA (2012), pp. 145-156",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Error-Tolerant Combiners for Oblivious Primitives,"Bartosz Przydatek, Jurg Wullschleger","International Colloquium on Automata, Languages and Programming, ICALP 2008, Springer Verlag, pp. 461-472",/pubs/archive/38321.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,An Analysis of the Effect of Larynx-Synchronous Averaging on Dereverberation of Voiced Speech,"Alastair H Moore, Patrick A Naylor, Jan Skoglund",Proceedings of European Signal Processing Conference (EUSIPCO) 2014,
General Science,http://research.google.com/pubs/GeneralScience.html,Hearing the Shape of the Ising Model with a Programmable Superconducting-Flux Annealer,"Walter Vinci, Klas Markstrom, Sergio Boixo, Aidan Roy, Federico M. Spedalieri, Paul A. Warburton, Simone Severini","Scientific Reports, vol. 4 (2014)",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Direct Construction of Compact Context-Dependency Transducers From Data,"David Rybach, Michael Riley","Interspeech 2010, ISCA",/pubs/archive/36834.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Sentence Compression by Deletion with LSTMs,"Katja Filippova, Enrique Alfonseca, Carlos Colmenares, Lukasz Kaiser, Oriol Vinyals",Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing (EMNLP'15) (to appear),/pubs/archive/43852.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Learning people annotation from the web via consistency learning,"Jay Yagnik, Atig Islam","Proc. international Workshop on Multimedia Information Retrieval, ACM, Augsberg, Germany (2007), pp. 285-290",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,A Room with a View: Understanding Users' Stages in Picking a Hotel Online,"Jens Riegelsberger, Michelle Lee, Scott Lederer","Extended Abstracts of CHI 2012, ACM, New York, NY",/pubs/archive/37647.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Weakly Supervised Clustering: Learning Fine-Grained Signals from Coarse Labels,"Stefan Wager, Alexander W Blocker, Niall Cardin",Annals of Applied Statistics (2015) (to appear),/pubs/archive/43338.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Measuring the Impact of Advertising on YouTube Traffic,Sundar Dorai-Raj,"The Market Research Event, The Market Research Event, Orlando FL (2011)",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Minimax Optimal Algorithms for Unconstrained Linear Optimization,"H. Brendan McMahan, Jacob Abernethy",Advances in Neural Information Processing Systems (NIPS) (2013),/pubs/archive/41859.pdf
Hardware and Architecture,http://research.google.com/pubs/HardwareandArchitecture.html,"Full-Chip Simulations, Keys to Success",Dan Steinberg,"SNUG Silicon Valley 2015 Proceedings, Silicon Valley",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,A Case for Usage Tracking to Relate Digital Objects,"Elin Ronby Pedersen, Jeanine Spence","ReColl 2008 proceedings (section of IUI 2008 proceedings), ACM",/pubs/archive/33381.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Crowd-Sourced Call Identification and Suppression,"Daniel V. Klein, Dean K. Jackson",Federal Trade Commission Robocall Challenge (2013),/pubs/archive/41119.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Finding Meaning on YouTube: Tag Recommendation and Category Discovery,"George Toderici, Hrishikesh Aradhye, Marius Pasca, Luciano Sbaiz, Jay Yagnik","Computer Vision and Pattern Recognition, IEEE (2010)",/pubs/archive/35651.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Large-Scale Automatic Classification of Phishing Pages,"Colin Whittaker, Brian Ryner, Marria Nazif",NDSS '10 (2010),/pubs/archive/35580.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Speech Acoustic Modeling from Raw Multichannel Waveforms,"Yedid Hoshen, Ron Weiss, Kevin W Wilson","International Conference on Acoustics, Speech, and Signal Processing, IEEE (2015)",/pubs/archive/43290.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,An Experimental Study of the Skype Peer-to-Peer VoIP System,"Saikat Guha, Neil Daswani, Ravi Jain","Proceedings of The 5th International Workshop on Peer-to-Peer Systems (IPTPS '06), Santa Barbara, CA (2006)",/pubs/archive/95.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,New Analysis and Algorithm for Learning with Drifting Distributions,"Mehryar Mohri, Andres Munoz Medina","ALT (2012), pp. 124-138",/pubs/archive/40988.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,The War Against Spam: A report from the front line,"Brad Taylor, Dan Fingal, Douglas Aberdeen",NIPS 2007 Workshop on Machine Learning in Adversarial Environments for Computer Security,/pubs/archive/36954.pdf
Networking,http://research.google.com/pubs/Networking.html,Remote Medical Monitoring Through Vehicular Ad Hoc Network,"Hyduke Noshadi, Eugenio Giordano, Hagop Hagopian, Giovanni Pau, Mario Gerla, Majid Sarrafzadeh","IEEE 68th Vehicular Technology Conference (VTC), 2008., IEEE, pp. 1-5",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Systems Support for Preemptive Disk Scheduling,"Zoran Dimitrijevic, Raju Rangaswami, Edward Y. Chang","IEEE Trans. Computers, vol. 54 (2005), pp. 1314-1326",/pubs/archive/943.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Understanding the Meta-Experience of Casual Games,"Carolyn Wei, David Huffaker","Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI '12). Workshop on Games User Research, ACM (2012)",/pubs/archive/37827.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Swapsies on the Internet: First Steps towards Reasoning about Risk and Trust in an Open World,"Sophia Drossopoulou, James Noble, Mark S. Miller","Tenth Workshop on Programming Languages and Analysis for Security (PLAS 2015), ACM",/pubs/archive/43808.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Language modelling for what-with-where on GOOG-411,"Charl Van Heerden, Johan Schalkwyk, Brian Strope","Proc. International Speech Communication Association (Interspeech 2009), pp. 991-994",/pubs/archive/34730.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,A new approach to the semantics of model diagrams,Johan G. Granstrom,"18th International Workshop on Types for Proofs and Programs (TYPES 2011), LIPICS (2013), pp. 28-40",/pubs/archive/40678.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Backoff Inspired Features for Maximum Entropy Language Models,"Fadi Biadsy, Keith Hall, Pedro Moreno, Brian Roark","Proceedings of Interspeech, ISCA (2014)",/pubs/archive/43114.pdf
Networking,http://research.google.com/pubs/Networking.html,RACNet: a high-fidelity data center sensing network,"Chieh-Jan Mike Liang, Jie Liu, Liqian Luo, Andreas Terzis, Feng Zhao","SenSys '09: Proceedings of the 7th ACM Conference on Embedded Networked Sensor Systems, ACM, New York, NY, USA (2009), pp. 15-28",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,IVR and web administration in structured interviews utilizing rating scales: Exploring the role of motivation as a moderator to mode effects,"Yongwei Yang, Mario Callegaro, Dennison S. Bhola, Don A. Dillman","International Journal of Social Research Methodology, vol. 14 (2011), pp. 1-15",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Dynamic Pharming Attacks and Locked Same-Origin Policies for Web Browsers,"Chris Karlof, Umesh Shankar, J. D. Tygar, David Wagner","Conference on Computer and Communications Security, ACM, Alexandria, VA (2007)",/pubs/archive/33414.pdf
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Team Geek: A Software Developer's Guide to Working Well with Others,"Brian W. Fitzpatrick, Ben Collins-Sussman","O'Reilly Media, 1005 Gravenstein Highway North, Sebastopol, CA 95472 (2012), pp. 180",
Data Management,http://research.google.com/pubs/DataManagement.html,F1: A Distributed SQL Database That Scales,"Jeff Shute, Radek Vingralek, Bart Samwel, Ben Handy, Chad Whipkey, Eric Rollins, Mircea Oancea, Kyle Littlefield, David Menestrina, Stephan Ellner, John Cieslewicz, Ian Rae, Traian Stancescu, Himani Apte",VLDB (2013),/pubs/archive/41344.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,A Cross-Lingual Dictionary for English Wikipedia Concepts,"Valentin I. Spitkovsky, Angel X. Chang",Eighth International Conference on Language Resources and Evaluation (LREC 2012),/pubs/archive/38098.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Indoor Scene Understanding with Geometric and Semantic Contexts,"Wongun Choi, Yu-Wei Chao, Caroline Pantofaru, Silvio Savarese",International Journal of Computer Vision (IJCV) (2014),
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,A Future-Adaptable Password Scheme,"Niels Provos, David Mazi{\`e}res","USENIX Annual Technical Conference, FREENIX Track (1999)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Insulin Resistance: Regression and Clustering,Sangho Yoon,"PLoS ONE, vol. 9(6) (2014)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Preference-Based Learning to Rank,"Nir Ailon, Mehryar Mohri","Machine Learning Journal, vol. 8 (2010), pp. 189-211",
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Deep Mixture Density Networks for Acoustic Modeling in Statistical Parametric Speech Synthesis,"Heiga Zen, Andrew Senior","Proceedings of the IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP), IEEE (2014), pp. 3872-3876",/pubs/archive/42020.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Word Embeddings for Speech Recognition,"Samy Bengio, Georg Heigold","Proceedings of the 15th Conference of the International Speech Communication Association, Interspeech (2014)",/pubs/archive/42543.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Packet vaccine: black-box exploit detection and signature generation,"XiaoFeng Wang, Zhuowei Li, Jun Xu, Michael K. Reiter, Chongkyung Kil, Jong Youl Choi","Proc. 13th ACM Conference on Computer and Communications Security, ACM, Alexandria, VA (2006), pp. 37-46",
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Autoregressive Product of Multi-frame Predictions Can Improve the Accuracy of Hybrid Models,"Navdeep Jaitly, Vincent Vanhoucke, Geoffrey Hinton",Proceedings of Interspeech 2014,/pubs/archive/42947.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Algorithms for Secretary Problems on Graphs and Hypergraphs,"Nitish Korula, Martin Pal",ICALP 2009,
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Large-Scale Automated Refactoring Using ClangMR,"Hyrum Wright, Daniel Jasper, Manuel Klimek, Chandler Carruth, Zhanyong Wan",Proceedings of the 29th International Conference on Software Maintenance (2013),/pubs/archive/41342.pdf
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,How to Break Software,James A. Whittaker,Addison-Wesley (2002),
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Minimizing change aversion for the Google Drive launch,"Aaron Sedley, Hendrik Muller","CHI'13 Extended Abstracts on Human Factors in Computing Systems, ACM, New York, NY, USA (2013), pp. 2351-2354",/pubs/archive/41221.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,StoryFaces: pretend-play with ebooks to support social-emotional storytelling,"Kimiko Ryokai, Hayes Raffle, Robert Kowalski","Proceedings of the 11th International Conference on Interaction Design and Children, ACM, New York, NY, USA (2012), pp. 125-133",
Networking,http://research.google.com/pubs/Networking.html,Improved Approximation Algorithms for (Budgeted) Node-weighted Steiner Problems,"Mohammadhossein Bateni, MohammadTaghi Hajiaghayi, Vahid Liaghat","ICALP, Springer (2013)",/pubs/archive/41135.pdf
Hardware and Architecture,http://research.google.com/pubs/HardwareandArchitecture.html,"High Performance Datacenter Networks: Architectures, Algorithms, and Opportunities","Dennis Abts, John Kim","Morgan & Claypool, San Rafael, California (2011)",/pubs/archive/37069.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,The Role of Query Sessions in Extracting Instance Attributes from Web Search Queries,"Marius Pasca, Enrique Alfonseca, Enrique Robledo-Arnuncio, Ricardo Martin-Brualla, Keith Hall","Proceedings of the 32nd European Conference on Information Retrieval (ECIR-2010), pp. 62-74",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,A Comparison of Chinese Parsers for Stanford Dependencies,"Wanxiang Che, Valentin I. Spitkovsky, Ting Liu",50th Annual Meeting of the Association for Computational Linguistics (ACL 2012),/pubs/archive/38100.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Best Effort and Priority Queuing Policies for Buffered Crossbar Switches,"Alex Kesselman,, Kirill Kogan,, Michael Segal,","SIROCCO '08: Proceedings of the 15th international colloquium on Structural Information and Communication Complexity, Springer-Verlag, Berlin, Heidelberg (2008), pp. 170-184",
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Value of Targeting,"Kshipra Bhawalkar, Patrick Hummel, Sergei Vassilvitskii","Proceedings of the 7th International Symposium on Algorithmic Game Theory (SAGT) (2014), pp. 194-205",
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Dynamic Recognition of Synchronization Operations for Improved Data Race Detection,"Chen Tian, Vijay Nagarajan, Rajiv Gupta, Sriraman Tallam","Proc. International Symposium on Software Testing and Analysis, ACM, Seattle (2008), pp. 143-154",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Cross-Lingual Discriminative Learning of Sequence Models with Posterior Regularization,"Kuzman Ganchev, Dipanjan Das",Proceedings of the 2013 Conference on Empirical Methods in Natural Language Processing,/pubs/archive/41533.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Parallel Assignments in Software Model Checking,"Murray Stokely, Sagar Chaki, Joel Ouaknine","Electr. Notes Theor. Comput. Sci., vol. 157 (2006), pp. 77-94",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Improving users' security choices on home wireless networks,"Justin T. Ho, David Dearman, Khai N. Truong","Proceedings of the Sixth Symposium on Usable Privacy and Security, ACM, New York, NY, USA (2010), 12:1-12:12",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Improving SSL Warnings: Comprehension and Adherence,"Adrienne Porter Felt, Alex Ainslie, Robert W. Reeder, Sunny Consolvo, Somas Thyagaraja, Alan Bettes, Helen Harris, Jeff Grimes","Proceedings of the Conference on Human Factors and Computing Systems, ACM (2015)",/pubs/archive/43265.pdf
Networking,http://research.google.com/pubs/Networking.html,Answering What-If Deployment and Configuration Questions with WISE,"Mukarram Tariq, Amgad Zeitoun, Vytautas Valancius, Nick Feamster, Mostafa Ammar",ACM SIGCOMM'08 (2008),
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Deep Learning via Semi-Supervised Embedding,"Jason Weston, Frederic Ratle, Hossein Mobahi, Ronan Collobert","Neural Networks Tricks of the Trade, Reloaded, Springer (2013)",
